Currency,Symbol,Units per USD,USD per Unit,Date
Afghanistan Afghanis,AFN,71.3497,0.014,2024-04-15 00:31:00
Albania Leke,ALL,95.0484,0.0105,2024-04-15 00:31:00
Algeria Dinars,DZD,135.3863,0.0074,2024-04-15 00:31:00
Argentina Pesos,ARS,866.4884,0.0012,2024-04-15 00:31:00
Australian Dollar,AUD,1.5454,0.6471,2024-04-15 00:31:00
Bahamas Dollars,BSD,1,1,2024-04-15 00:31:00
Bahrain Dinar,BHD,0.376,2.6596,2024-04-15 00:31:00
Bangladesh Taka,BDT,110.0724,0.0091,2024-04-15 00:31:00
Barbados Dollars,BBD,2,0.5,2024-04-15 00:31:00
Bermuda Dollars,BMD,1,1,2024-04-15 00:31:00
Bitcoin,XBT,1,1,2024-04-15 00:31:00
Brazil Reais,BRL,5.1303,0.1949,2024-04-15 00:31:00
Bulgaria Leva,BGN,1.8365,0.5445,2024-04-15 00:31:00
Canadian Dollar,CAD,1.3774,0.726,2024-04-15 00:31:00
CFA BCEAO Francs,XOF,615.9512,0.0016,2024-04-15 00:31:00
CFA BEAC Francs,XAF,615.9512,0.0016,2024-04-15 00:31:00
Chile Pesos,CLP,967.1618,0.001,2024-04-15 00:31:00
Colombia Pesos,COP,3855.2097,0.0003,2024-04-15 00:31:00
Comptoirs Francais du Pacifique Francs,XPF,112.0539,0.0089,2024-04-15 00:31:00
Costa Rica Colones,CRC,503.195,0.002,2024-04-15 00:31:00
Croatia Kuna,HRK,1,1,2024-04-15 00:31:00
Czech Republic Koruny,CZK,23.8022,0.042,2024-04-15 00:31:00
Danish Krone,DKK,7.0117,0.1426,2024-04-15 00:31:00
Dominican Republic Pesos,DOP,59.1282,0.0169,2024-04-15 00:31:00
East Caribbean Dollars,XCD,2.7,0.3704,2024-04-15 00:31:00
Egypt Pounds,EGP,47.5773,0.021,2024-04-15 00:31:00
Estonia Krooni,EEK,1,1,2024-04-15 00:31:00
Fiji Dollars,FJD,2.2464,0.4452,2024-04-15 00:31:00
Hong Kong Dollar,HKD,7.8375,0.1276,2024-04-15 00:31:00
Hungary Forint,HUF,369.0262,0.0027,2024-04-15 00:31:00
Iceland Kronur,ISK,141.5464,0.0071,2024-04-15 00:31:00
IMF Special Drawing Rights,XDR,0.7599,1.316,2024-04-15 00:31:00
Indian Rupee,INR,83.5445,0.012,2024-04-15 00:31:00
Indonesia Rupiahs,IDR,15844.8169,0.0001,2024-04-15 00:31:00
Iran Rials,IRR,42002.0724,0,2024-04-15 00:31:00
Iraq Dinars,IQD,1310.307,0.0008,2024-04-15 00:31:00
Israel New Shekels,ILS,3.7724,0.2651,2024-04-15 00:31:00
Jamaica Dollars,JMD,154.1005,0.0065,2024-04-15 00:31:00
Jordan Dinars,JOD,0.709,1.4104,2024-04-15 00:31:00
Kenya Shillings,KES,129.6312,0.0077,2024-04-15 00:31:00
Kuwaiti Dinar,KWD,0.3079,3.2483,2024-04-15 00:31:00
Lebanon Pounds,LBP,90012.944,0,2024-04-15 00:31:00
Malaysian Ringgit,MYR,4.7703,0.2096,2024-04-15 00:31:00
Mauritius Rupees,MUR,46.4097,0.0215,2024-04-15 00:31:00
Mexico Pesos,MXN,16.6338,0.0601,2024-04-15 00:31:00
Morocco Dirhams,MAD,10.02,0.0998,2024-04-15 00:31:00
NewZealand $,NZD,1.6844,0.5937,2024-04-15 00:31:00
Norwegians Krone,NOK,10.9047,0.0917,2024-04-15 00:31:00
Omani Riyal,OMR,0.3851,2.5967,2024-04-15 00:31:00
Peru Nuevos Soles,PEN,3.7055,0.2699,2024-04-15 00:31:00
Philippines Pesos,PHP,56.6118,0.0177,2024-04-15 00:31:00
Poland Zlotych,PLN,4.0275,0.2483,2024-04-15 00:31:00
Qatari Riyal,QAR,3.64,0.2747,2024-04-15 00:31:00
Romania New Lei,RON,4.6725,0.214,2024-04-15 00:31:00
Russia Rubles,RUB,93.3008,0.0107,2024-04-15 00:31:00
Singapore Dollar,SGD,1.3614,0.7346,2024-04-15 00:31:00
Slovakia Koruny,SKK,1,1,2024-04-15 00:31:00
South Africa Rand,ZAR,18.8543,0.053,2024-04-15 00:31:00
South Korea Won,KRW,1379.8148,0.0007,2024-04-15 00:31:00
Sri Lanka Rupees,LKR,298.3598,0.0034,2024-04-15 00:31:00
Sudan Pounds,SDG,598.9386,0.0017,2024-04-15 00:31:00
Swedish Korona,SEK,10.8841,0.0919,2024-04-15 00:31:00
Swiss Franc,CHF,0.9144,1.0936,2024-04-15 00:31:00
Taiwan New Dollars,TWD,32.3346,0.0309,2024-04-15 00:31:00
Thai Bhat,THB,36.6062,0.0273,2024-04-15 00:31:00
Trinidad and Tobago Dollars,TTD,6.8026,0.147,2024-04-15 00:31:00
Tunisia Dinars,TND,3.107,0.3219,2024-04-15 00:31:00
Turkey New Lira,TRY,32.3516,0.0309,2024-04-15 00:31:00
Vietnam Dong,VND,25019.7743,0,2024-04-15 00:31:00
Zambia Kwacha,ZMK,1,1,2024-04-15 00:31:00
