Currency,Buying,Selling,Date
Australian Dollar,182.7,184.5,2024-04-15 00:31:00
Bahrain Dinar,739.38,747.38,2024-04-15 00:31:00
Canadian Dollar,204.0,206.2,2024-04-15 00:31:00
China Yuan,38.45,38.85,2024-04-15 00:31:00
Danish Krone,40.45,40.85,2024-04-15 00:31:00
Euro,299.95,302.9,2024-04-15 00:31:00
Hong Kong Dollar,35.57,35.92,2024-04-15 00:31:00
Indian Rupee,3.33,3.44,2024-04-15 00:31:00
Japanese Yen,1.86,1.94,2024-04-15 00:31:00
Kuwaiti Dinar,903.91,912.91,2024-04-15 00:31:00
Malaysian Ringgit,58.92,59.52,2024-04-15 00:31:00
NewZealand $,167.63,169.63,2024-04-15 00:31:00
Norwegians Krone,25.38,25.68,2024-04-15 00:31:00
Omani Riyal,722.1,730.1,2024-04-15 00:31:00
Qatari Riyal,76.35,77.05,2024-04-15 00:31:00
Saudi Riyal,73.3,74.05,2024-04-15 00:31:00
Singapore Dollar,206.0,208.0,2024-04-15 00:31:00
Swedish Korona,25.72,26.02,2024-04-15 00:31:00
Swiss Franc,307.11,309.61,2024-04-15 00:31:00
Thai Bhat,7.61,7.76,2024-04-15 00:31:00
U.A.E Dirham,75.45,76.2,2024-04-15 00:31:00
UK Pound Sterling,349.5,353.0,2024-04-15 00:31:00
US Dollar,277.5,280.5,2024-04-15 00:31:00
